population,dimension,category,eligible_rows,critical_or_high_rows,critical_or_high_percent
llm_only,label,beacon-chain:deposit,3,0,0.0
llm_only,label,beacon-chain:execution-payload,6,1,16.667
llm_only,label,beacon-chain:exit-consolidation,1,0,0.0
llm_only,label,beacon-chain:justification-and-finality,1,0,0.0
llm_only,label,beacon-chain:rewards-and-penalties,1,0,0.0
llm_only,label,beacon-chain:slashing,5,3,60.0
llm_only,label,beacon-chain:sync-committee,4,0,0.0
llm_only,label,beacon-chain:withdrawal,3,0,0.0
llm_only,label,blobs,7,5,71.429
llm_only,label,block-processing,11,2,18.182
llm_only,label,bls,3,2,66.667
llm_only,label,build-ci,9,1,11.111
llm_only,label,builder,8,0,0.0
llm_only,label,cli,5,0,0.0
llm_only,label,crypto,8,0,0.0
llm_only,label,data-availability-sampling,15,4,26.667
llm_only,label,database,13,3,23.077
llm_only,label,deposit-contract,1,0,0.0
llm_only,label,engine-api,17,0,0.0
llm_only,label,evm,13,2,15.385
llm_only,label,fork-choice,47,10,21.277
llm_only,label,gas,9,3,33.333
llm_only,label,kzg-commitments,7,1,14.286
llm_only,label,light-client,5,1,20.0
llm_only,label,metrics-observability,1,0,0.0
llm_only,label,opcodes,4,2,50.0
llm_only,label,other,2,0,0.0
llm_only,label,p2p,21,5,23.81
llm_only,label,p2p-interface,31,7,22.581
llm_only,label,precompiles,4,0,0.0
llm_only,label,rlp,8,1,12.5
llm_only,label,rpc,3,0,0.0
llm_only,label,serialization,7,3,42.857
llm_only,label,state-trie,67,14,20.896
llm_only,label,sync,50,13,26.0
llm_only,label,test,16,5,31.25
llm_only,label,transactions,37,5,13.514
llm_only,label,txpool,20,1,5.0
llm_only,label,validator,2,0,0.0
