metric,count,denominator,definition,percent
snapshot_rows,2225,2225,all frozen snapshot records,100.0
ef_comparable_rows,1612,2225,severity_source is bounty-graded or llm-estimated,72.449
excluded_upstream_cvss,612,2225,not comparable with the EF-bounty scale,27.506
excluded_unassessed,1,2225,no severity assessment,0.045
original_ef_bounty_eligible,592,1612,Critical/High/Medium/Low before the High audit,36.725
ef_not_eligible,1020,1612,"not-eligible is a scope decision, not a Low tier",63.275
original_ef_critical_or_high,128,592,pre-audit Critical/High; includes unverified LLM High,21.622
confirmed_bounty_critical_or_high,18,60,published bounty grades only,30.0
llm_high_candidates_tier_uncertain,110,1552,original LLM High removed from exact-tier analysis,7.088
