ref,current_recall_status,TITLE,URL,MODULES,COMMITS
pull/17412,curated_match,cmd/puppeth: fix nil panic on disconnected stats gathering,https://github.com/ethereum/go-ethereum/pull/17412,{'ui': 1},"{'5952d962dc6852fe62f0d363317dae2f224063bd', 'b24fb76a3ae8b2a41bde9ed0744b4284e385e011'}"
pull/17460,curated_match,Ensure from < to when tracing chain,https://github.com/ethereum/go-ethereum/pull/17460,{'others': 1},"{'ecca49e078ace5f867cccdf5c291e3e84dc19982', '106d196ec4a6451efedc60ab15957f231fa85639'}"
pull/17546,curated_match,"cmd, core, eth, miner, params: configurable gas floor and ceil",https://github.com/ethereum/go-ethereum/pull/17546,"{'ui': 5, 'consensus': 5, 'node': 1}","{'e8f229b82ef99213f8f84b8a71f752b236024494', 'e29c2e43640445e743bb69ab48d6c862d3e964d9'}"
pull/17554,curated_match,"cmd/clef, signer: security fixes",https://github.com/ethereum/go-ethereum/pull/17554,"{'ui': 7, 'wallet': 25, 'rpc': 2}","{'ebe46a48f30c34da4e6cbc7145aedf2a4ae8441b', '28cbd61baa4c90284232f3df8946b02460823b58', '8e41a5c0c644aac5bf25e9fc28c823a26559fbcd', '5f29628477ad842d02df5f22f2cb994cf367bef2', 'c66a50dfeab70c9c875e280dfe4f14a6cbafeb66', 'c03d2bcb5126032f0ced9cd483587116b06b0bcf', 'bbf695607d271fd29a06acaf31bf41fba0a75bc4', 'e31efa371661ecae4422d3c2c18a556e0a9f8fe7', '1b5bcde4642df900150f19473fce2edba7b76738', '626cf5de170009177402c2f7217de45e7fe09940', '517c4fc2b0754571582b38c2c33ca79a7d57b39d', '321de9d86cff2befa019aeec2c33f601a2122b04', '433fb67cc46ab619f34b6ef3e35e1a95116a3649', 'd3441ebb563439bac0837d70591f92e2c6080303'}"
pull/17639,curated_match,les: fix distReq.sentChn double close bug,https://github.com/ethereum/go-ethereum/pull/17639,{'others': 1},"{'2459f5861249c92fce35b4f3c6e8ca6257b3c94e', 'd4a28a13ca4c36019d23da6342e7e55b1d406fb5'}"
pull/17653,curated_match,"abi,signer: fix nil dereference in #17633",https://github.com/ethereum/go-ethereum/pull/17653,{'wallet': 2},"{'16bc8741bfc6db6d7d352015e4324042dd9288a4', 'd69ef3e7bacdc17edb86a6cdcafaa1d27c124ff2', 'ced0708bba570eeac8304b025bdc3947f011ec13'}"
pull/17734,curated_match,swarm/network/stream: fix DoS invalid offered hashes length,https://github.com/ethereum/go-ethereum/pull/17734,{'network': 1},"{'d3f056bd68fb6a8e9ffa3938d5404c6a209e0313', '4b6824e07b1b7c5a2907143b4d122283eadb2474'}"
pull/17798,curated_match,accounts/abi: fix panic in MethodById lookup. Fixes #17797,https://github.com/ethereum/go-ethereum/pull/17798,{'wallet': 1},"{'23ca84193583763717c5e8ef63e4002964ce4b6b', '96fd50be10885c9b3033404df698177fdb63d036'}"
pull/18165,curated_match,trie/database: fix overflow in parent tracking,https://github.com/ethereum/go-ethereum/pull/18165,{'storage': 1},"{'2843001ac218040f7e773159596625654f4e4148', '8dcbb8d4c1624f8e7c06b13153a07e28164b56ea'}"
pull/18335,curated_match,downloader: fix edgecase where returned index is OOB for downloader,https://github.com/ethereum/go-ethereum/pull/18335,{'network': 3},"{'8519224d556be22adbf417beda29cf4a166d3779', '5f251a6448b3385015ab531c35071743f93cafae', '9c4bf981eb7c6e9098ea06ada36ea328f179b58b'}"
