population,dimension,category,direct_advisory_rows,direct_advisory_denominator,direct_advisory_percent,no_id_rows,no_id_denominator,no_id_percent,odds_ratio,ci95_low,ci95_high,p_value,q_value_bh
A_or_B,source_platform,besu,7,36,19.444,69,1656,4.167,5.807219,2.515227,13.407852,3.779388e-05,0.0001889694
A_or_B,source_platform,erigon,2,36,5.556,348,1656,21.014,0.272077,0.074957,0.987574,0.047814852,0.15938284
A_or_B,source_platform,nimbus,0,36,0.0,194,1656,11.715,0.103004,0.006296,1.685052,0.11092241,0.27730602
A_or_B,source_platform,reth,0,36,0.0,151,1656,9.118,0.136127,0.008313,2.229128,0.16210562,0.32421124
A_or_B,source_platform,nethermind,0,36,0.0,103,1656,6.22,0.205612,0.01253,3.373997,0.2678267,0.39580119
A_or_B,source_platform,lighthouse,1,36,2.778,157,1656,9.481,0.40228,0.077877,2.078019,0.27706083,0.39580119
A_or_B,source_platform,teku,0,36,0.0,86,1656,5.193,0.248713,0.015137,4.086575,0.32990273,0.40752246
A_or_B,source_platform,prysm,0,36,0.0,78,1656,4.71,0.275456,0.016751,4.52963,0.36677021,0.40752246
A_or_B,source_platform,lodestar,3,36,8.333,158,1656,9.541,0.987758,0.324505,3.006632,0.98269688,0.98269688
all_tiers,attack_path,malicious_tx,9,36,25.0,33,2053,1.607,20.83555,9.242914,46.967885,2.4316648e-13,2.1884983e-12
all_tiers,attack_path,malicious_p2p_message,10,36,27.778,221,2053,10.765,3.278036,1.582564,6.789943,0.0013956118,0.0062802529
all_tiers,attack_path,malicious_block,3,36,8.333,53,2053,2.582,3.906682,1.256925,12.142455,0.018511596,0.055534788
all_tiers,attack_path,malicious_attestation,0,36,0.0,172,2053,8.378,0.149414,0.00913,2.445133,0.18251862,0.27377793
all_tiers,attack_path,crafted_state,3,36,8.333,407,2053,19.825,0.422141,0.139627,1.276274,0.12655382,0.27377793
all_tiers,attack_path,malformed_input,10,36,27.778,816,2053,39.747,0.600527,0.292259,1.23395,0.16517737,0.27377793
all_tiers,attack_path,internal_only,1,36,2.778,192,2053,9.352,0.408597,0.079219,2.107479,0.28492235,0.36632874
