model,provenance,model_out_of_scope,records
claude:claude-sonnet-5,cross_client_keyword_heuristic,False,4
claude:claude-sonnet-5,cross_client_keyword_heuristic,True,41
claude:claude-sonnet-5,published_advisory,False,13
claude:claude-sonnet-5,published_advisory,True,1
claude:claude-sonnet-5,repo_crawl_unattributed,True,1
openai:glm-5.2,published_advisory,False,10
