id,source_platform,issue_id,title,description_excerpt,source_url,authority_tier,severity,severity_source,label,root_cause,attack_path,suggested_scope,suggestion_reason,reviewed_scope,review_notes
14948bc8b3025deb,teku,RELEASE#24.10.0#276cee8a,Add a fix for [CVE-2024-7254](https://avd.aquasec.com/nvd/2024/cve-2024-7254/),"[24.10.0] - Added support for [Ephemery Testnet](https://github.com/ephemery.dev) `--network=ephemery` - Updated bootnodes for Holesky network - Disabled flood publish behaviour on all p2p subnets. `--Xp2p-flood-publish-enabled` experimental parameter can be used to re-enable it, restoring previous behaviour. - Add a fix for [CVE-2024-7254](https://avd.aquasec.com/nvd/2024/cve-2024-7254/) - Updated LUKSO configuration with Deneb fork scheduled for epoch 123075 (November 20, 2024, 16:20:00 UTC) -",https://github.com/Consensys/teku/releases/tag/24.10.0,A_authoritative,Info,upstream-cvss,p2p-interface,resource_exhaustion,malicious_p2p_message,dependency_or_tooling,known dependency name in title/description,,
39f552132567e254,erigon,COMMIT#44732ef71894,crypto: add IsOnCurve check (#13627),Fixes [CVE-2025-24883](https://nvd.nist.gov/vuln/detail/CVE-2025-24883) See https://github.com/ethereum/go-ethereum/pull/31100,https://github.com/erigontech/erigon/commit/44732ef7189450f8066bc4005039f6a1a66ef88b,A_authoritative,Info,llm-estimated,crypto,crypto_misuse,malformed_input,needs_manual_review,insufficient high-precision scope evidence,,
erigon:erigontech-erigon:PR#5450,erigon,PR#5450,Add test for CVE-2020-26265,,https://github.com/erigontech/erigon/pull/5450,A_authoritative,Unrated,llm-estimated,test,other,malformed_input,needs_manual_review,insufficient high-precision scope evidence,,
7c5ea587d2623255,geth,COMMIT#45698e9cb9d9,p2p/nat: bump pion/stun to v3 to pull in fixed pion/dtls (#34980),"### Summary Closes #34621. `github.com/pion/dtls/v2` is affected by [CVE-2026-26014](https://nvd.nist.gov/vuln/detail/CVE-2026-26014); the fix lives in `github.com/pion/dtls/v3`. In this tree, dtls/v2 is pulled in indirectly via `github.com/pion/stun/v2 v2.0.0` (declared at `go.mod:53`), which is the only direct consumer — `p2p/nat/stun.go` is the sole call site. `github.com/pion/stun/v3` already uses dtls/v3, so bumping `stun` upgrades the vulnerable dependency without touching `pion/dtls` dire",https://github.com/ethereum/go-ethereum/commit/45698e9cb9d917a5677bf5b0f0f7876cae97f1a0,A_authoritative,Info,upstream-cvss,transactions,other,malicious_p2p_message,needs_manual_review,insufficient high-precision scope evidence,,
f4dd3dfb89c70b7d,geth,CVE-2019-11841,Golang/x/crypto message forgery vulnerability,"A message-forgery issue was discovered in `crypto/openpgp/clearsign/clearsign.go` in supplementary Go cryptography libraries 2019-03-25. According to the OpenPGP Message Format specification in RFC 4880 chapter 7, a cleartext signed message can contain one or more optional ""Hash"" Armor Headers. The ""Hash"" Armor Header specifies the message digest algorithm(s) used for the signature. However, the Go clearsign package ignores the value of this header, which allows an attacker to spoof it. Conseque",https://nvd.nist.gov/vuln/detail/CVE-2019-11841,B_corroborated,Unrated,upstream-cvss,crypto,missing_input_validation,malformed_input,needs_manual_review,insufficient high-precision scope evidence,,
d77e6d7be5ad3831,geth,CVE-2020-7919,Helm uses crypto package vulnerable to panic from malformed X.509 certificate,The Helm core maintainers have identified a high severity security vulnerability in Go's `crypto` package affecting all versions prior to Helm 2.16.8 and Helm 3.1.0. Thanks to @ravin9249 for identifying the vulnerability. ### Impact Go before 1.12.16 and 1.13.x before 1.13.7 (and the `crypto/cryptobyte` package before 0.0.0-20200124225646-8b5121be2f68 for Go) allows attacks on clients resulting in a panic via a malformed X.509 certificate. This may allow a remote attacker to cause a denial of,https://nvd.nist.gov/vuln/detail/CVE-2020-7919,A_authoritative,High,upstream-cvss,crypto,unhandled_error_or_nil,malformed_input,needs_manual_review,insufficient high-precision scope evidence,,
17e86a513438dd82,geth,CVE-2023-48795,Prefix Truncation Attack against ChaCha20-Poly1305 and Encrypt-then-MAC aka Terrapin,"### Summary Terrapin is a prefix truncation attack targeting the SSH protocol. More precisely, Terrapin breaks the integrity of SSH's secure channel. By carefully adjusting the sequence numbers during the handshake, an attacker can remove an arbitrary amount of messages sent by the client or server at the beginning of the secure channel without the client or server noticing it. ### Mitigations To mitigate this protocol vulnerability, OpenSSH suggested a so-called ""strict kex"" which alters the",https://nvd.nist.gov/vuln/detail/CVE-2023-48795,C_candidate,Unrated,upstream-cvss,p2p,missing_input_validation,malicious_p2p_message,needs_manual_review,insufficient high-precision scope evidence,,
016e9b48cc0d0faa,lighthouse,COMMIT#194609d210b6,Ignore vulnerability in hyper (#2188),## Issue Addressed NA ## Proposed Changes Ignores a [hyper vuln](https://rustsec.org/advisories/RUSTSEC-2021-0020) that will be fixed in #2172. I am comfortable with ignoring this because we have a fix in the works and the impact of the vuln is low to negligible. ## Additional Info NA,https://github.com/sigp/lighthouse/commit/194609d210b6d51d5d07abea05bfab38fa755262,C_candidate,Info,llm-estimated,build-ci,other,malformed_input,needs_manual_review,insufficient high-precision scope evidence,,
7aa58e560f5daf20,lighthouse,COMMIT#cd31e54b9951,Bump `axum` deps (#3570),"## Issue Addressed Fix a `cargo-audit` failure. We don't use `axum` for anything besides tests, but `cargo-audit` is failing due to this vulnerability in `axum-core`: https://rustsec.org/advisories/RUSTSEC-2022-0055",https://github.com/sigp/lighthouse/commit/cd31e54b995144dd109c877406f4b3fe386193f0,C_candidate,Info,upstream-cvss,build-ci,other,malformed_input,needs_manual_review,insufficient high-precision scope evidence,,
b9328bbd0a612628,teku,COMMIT#b91c43237fe5,Add fix for CVE-2024-7254 (#8647),,https://github.com/Consensys/teku/commit/b91c43237fe5eae29ddcb772b1cf3688fc3e8d56,A_authoritative,Info,llm-estimated,build-ci,other,malformed_input,needs_manual_review,insufficient high-precision scope evidence,,
