advisory_id,reviewed_scope,source_platform,record_id,appears_in_multiple_scopes
CVE-2021-44228,dependency_or_tooling,teku,teku:ghsa-advisory:GHSA-mwfw-vm54-g3p7,False
GHSA-MWFW-VM54-G3P7,dependency_or_tooling,teku,teku:ghsa-advisory:GHSA-mwfw-vm54-g3p7,False
CVE-2026-34478,dependency_or_tooling,besu,20477e7159c2e375,False
CVE-2026-34480,dependency_or_tooling,besu,20477e7159c2e375,False
CVE-2020-15250,dependency_or_tooling,besu,e1571a89bd83734e,False
CVE-2025-48924,dependency_or_tooling,besu,e1571a89bd83734e,False
CVE-2025-55163,dependency_or_tooling,besu,e1571a89bd83734e,False
CVE-2024-47535,dependency_or_tooling,besu,fc384bdaf55405d0,False
CVE-2018-18928,dependency_or_tooling,besu,b6cb2a5088c2d113,False
CVE-2022-42889,dependency_or_tooling,besu,aae7528edb15c135,False
CVE-2022-42003,dependency_or_tooling,besu,988f488158943300,False
CVE-2023-32731,dependency_or_tooling,besu,28f843896069db8d,False
CVE-2023-33953,dependency_or_tooling,besu,28f843896069db8d,False
CVE-2023-34462,dependency_or_tooling,besu,28f843896069db8d,False
CVE-2023-44487,dependency_or_tooling,besu,28f843896069db8d,False
CVE-2023-4785,dependency_or_tooling,besu,28f843896069db8d,False
CVE-2026-32285,dependency_or_tooling,erigon,eff1234250453226,False
CVE-2026-41907,dependency_or_tooling,erigon,de5069512f1a159f,False
CVE-2026-45736,dependency_or_tooling,erigon,de5069512f1a159f,False
GHSA-58QX-3VCG-4XPX,dependency_or_tooling,erigon,de5069512f1a159f,False
GHSA-W5HQ-G745-H8PQ,dependency_or_tooling,erigon,de5069512f1a159f,False
CVE-2026-11525,dependency_or_tooling,erigon,550962ddcdb2470a,False
CVE-2026-12151,dependency_or_tooling,erigon,550962ddcdb2470a,False
CVE-2026-48038,dependency_or_tooling,erigon,550962ddcdb2470a,False
CVE-2026-49356,dependency_or_tooling,erigon,550962ddcdb2470a,False
CVE-2026-53550,dependency_or_tooling,erigon,550962ddcdb2470a,False
CVE-2026-6733,dependency_or_tooling,erigon,550962ddcdb2470a,False
CVE-2026-9679,dependency_or_tooling,erigon,550962ddcdb2470a,False
GHSA-35P6-XMWP-9G52,dependency_or_tooling,erigon,550962ddcdb2470a,False
GHSA-4X5R-PXFX-6JF8,dependency_or_tooling,erigon,550962ddcdb2470a,False
GHSA-G8M3-5G58-FQ7M,dependency_or_tooling,erigon,550962ddcdb2470a,False
GHSA-H67P-54HQ-RP68,dependency_or_tooling,erigon,550962ddcdb2470a,False
GHSA-P88M-4JFJ-68FV,dependency_or_tooling,erigon,550962ddcdb2470a,False
GHSA-Q7CG-457F-VX79,dependency_or_tooling,erigon,550962ddcdb2470a,False
GHSA-VXPW-J846-P89Q,dependency_or_tooling,erigon,550962ddcdb2470a,False
GHSA-5C6J-R48X-RMVQ,dependency_or_tooling,erigon,e09fdd21649cd021,False
GHSA-FV7C-FP4J-7GWP,dependency_or_tooling,erigon,e09fdd21649cd021,False
GHSA-Q3J6-QGPJ-74H6,dependency_or_tooling,erigon,e09fdd21649cd021,False
GHSA-QJ8W-GFJ5-8C6V,dependency_or_tooling,erigon,e09fdd21649cd021,False
GHSA-V39H-62P7-JPJC,dependency_or_tooling,erigon,e09fdd21649cd021,False
CVE-2026-1525,dependency_or_tooling,erigon,3288680a95c53e21,False
CVE-2026-1526,dependency_or_tooling,erigon,3288680a95c53e21,False
CVE-2026-1527,dependency_or_tooling,erigon,3288680a95c53e21,False
CVE-2026-1528,dependency_or_tooling,erigon,3288680a95c53e21,False
CVE-2026-2229,dependency_or_tooling,erigon,3288680a95c53e21,False
CVE-2026-2581,dependency_or_tooling,erigon,3288680a95c53e21,False
GHSA-2MJP-6Q6P-2QXM,dependency_or_tooling,erigon,3288680a95c53e21,False
GHSA-4992-7RV2-5PVQ,dependency_or_tooling,erigon,3288680a95c53e21,False
GHSA-F269-VFMQ-VJVJ,dependency_or_tooling,erigon,3288680a95c53e21,False
GHSA-PHC3-FGPG-7M6H,dependency_or_tooling,erigon,3288680a95c53e21,False
GHSA-V9P9-HFJ2-HCW8,dependency_or_tooling,erigon,3288680a95c53e21,False
GHSA-VRM6-8VPV-QV8Q,dependency_or_tooling,erigon,3288680a95c53e21,False
CVE-2026-26014,dependency_or_tooling,erigon,1d5721cb62b937b9,False
GHSA-9F3F-WV7R-QC8R,dependency_or_tooling,erigon,1d5721cb62b937b9,False
GHSA-MH63-6H87-95CP,dependency_or_tooling,erigon,d61d20dbb15c3c31,False
CVE-2023-49295,dependency_or_tooling,erigon,efe322757de1cdb0,False
GHSA-PFFG-92CG-XF5C,dependency_or_tooling,erigon,d9d15b02a9ffb53b,False
CVE-2026-26313,dependency_or_tooling,erigon,c4abc462e912553e,True
CVE-2026-26314,dependency_or_tooling,erigon,c4abc462e912553e,True
CVE-2026-26315,dependency_or_tooling,erigon,c4abc462e912553e,True
CVE-2025-24883,direct_client_implementation,erigon,39f552132567e254,False
CVE-2026-26014,dependency_or_tooling,geth,7c5ea587d2623255,False
CVE-2024-32972,direct_client_implementation,geth,ba1acd77a48c7f43,False
CVE-2021-41173,direct_client_implementation,geth,28386a66ef9f34bc,False
CVE-2021-42219,direct_client_implementation,geth,762246407b6270cf,False
CVE-2021-43668,direct_client_implementation,geth,762246407b6270cf,False
CVE-2022-23327,direct_client_implementation,geth,762246407b6270cf,False
CVE-2022-23328,direct_client_implementation,geth,762246407b6270cf,False
CVE-2020-26241,direct_client_implementation,geth,342ad9e80eb3747b,False
CVE-2018-19184,direct_client_implementation,geth,228c807be670b220,False
CVE-2026-22868,direct_client_implementation,geth,7a01ac34bb8f8f97,False
CVE-2026-22862,direct_client_implementation,geth,a4feb077db6061c1,False
CVE-2018-12018,direct_client_implementation,geth,74709c65793547a0,False
CVE-2023-40591,direct_client_implementation,geth,4bb523e194701da7,False
CVE-2018-16733,direct_client_implementation,geth,d6a02420f6ae46dd,False
CVE-2022-37450,direct_client_implementation,geth,1362ec0ca1855226,False
CVE-2020-26240,direct_client_implementation,geth,a977ecb905797129,False
CVE-2023-42319,direct_client_implementation,geth,d5796321d9ebf1ae,False
CVE-2022-29177,direct_client_implementation,geth,caad43d8de668c43,False
CVE-2020-26265,direct_client_implementation,geth,40629fd371ea92ae,False
CVE-2020-29652,dependency_or_tooling,geth,dfc686972ac72690,False
CVE-2023-48795,dependency_or_tooling,geth,17e86a513438dd82,False
CVE-2022-27191,dependency_or_tooling,geth,82bd894e6ef4c96a,False
CVE-2020-7919,dependency_or_tooling,geth,d77e6d7be5ad3831,False
CVE-2025-47914,dependency_or_tooling,geth,121447f155640a8b,False
CVE-2020-9283,dependency_or_tooling,geth,c976633ee45dd987,False
CVE-2021-43565,dependency_or_tooling,geth,c3970363b1e95aa8,False
CVE-2025-58181,dependency_or_tooling,geth,1f039b02ffa221e9,False
CVE-2024-45337,dependency_or_tooling,geth,8dc5f046b9907f2a,False
CVE-2026-46595,dependency_or_tooling,geth,8dc5f046b9907f2a,False
CVE-2019-11841,dependency_or_tooling,geth,f4dd3dfb89c70b7d,False
CVE-2017-3204,dependency_or_tooling,geth,d29c5b0777a57b29,False
CVE-2022-30636,dependency_or_tooling,geth,a7c77190902bffc6,False
CVE-2025-47913,dependency_or_tooling,geth,f62e260bd5f1084d,False
CVE-2026-46597,dependency_or_tooling,geth,52767e37dd25be62,False
CVE-2026-39835,dependency_or_tooling,geth,43bbeb47e038ff8c,False
CVE-2026-39827,dependency_or_tooling,geth,45e1bbf04272c8d7,False
CVE-2026-39830,dependency_or_tooling,geth,80a4f9d175cd68a2,False
CVE-2026-39829,dependency_or_tooling,geth,91a0e713ce49694c,False
CVE-2026-39831,dependency_or_tooling,geth,ba9cf3168de094a1,False
CVE-2026-39834,dependency_or_tooling,geth,8cc2c1fca6566b42,False
CVE-2026-42508,dependency_or_tooling,geth,a0bf4f3c581fd213,False
CVE-2026-46598,dependency_or_tooling,geth,3424eef8b55313ab,False
CVE-2020-27813,dependency_or_tooling,geth,271695669fe1a228,False
RUSTSEC-2022-0084,dependency_or_tooling,grandine,9497bc683371db42,False
RUSTSEC-2021-0097,dependency_or_tooling,lighthouse,fabed8539406e569,False
RUSTSEC-2021-0098,dependency_or_tooling,lighthouse,fabed8539406e569,False
RUSTSEC-2025-0004,dependency_or_tooling,lighthouse,b2fe35df329a3041,False
RUSTSEC-2023-0063,dependency_or_tooling,lighthouse,ceee9db26bd2d69d,False
RUSTSEC-2022-0055,dependency_or_tooling,lighthouse,7aa58e560f5daf20,False
RUSTSEC-2021-0020,dependency_or_tooling,lighthouse,016e9b48cc0d0faa,False
RUSTSEC-2021-0115,dependency_or_tooling,lighthouse,eb5202427514a50d,False
GHSA-4W32-2493-32G7,dependency_or_tooling,lighthouse,73349ded3d9a5d75,False
GHSA-6XVM-J4WR-6V98,dependency_or_tooling,lighthouse,73349ded3d9a5d75,False
GHSA-GC42-3JG7-RXR2,dependency_or_tooling,lighthouse,73349ded3d9a5d75,False
