model,provenance,scored,exact,exact_pct,within_1,within_1_pct,predicted_not_eligible
claude:claude-sonnet-5,cross_client_keyword_heuristic,45,1,2.2,3,6.7,41
claude:claude-sonnet-5,published_advisory,14,5,35.7,13,92.9,2
claude:claude-sonnet-5,repo_crawl_unattributed,1,0,0.0,0,0.0,1
openai:glm-5.2,cross_client_keyword_heuristic,45,0,0.0,1,2.2,44
openai:glm-5.2,published_advisory,13,2,15.4,12,92.3,1
openai:glm-5.2,repo_crawl_unattributed,1,0,0.0,0,0.0,1
