first_client,times_first,median_span_days,positions,position_share_pct,first_share_pct,first_to_position_ratio
lodestar,6,1540.0,16,25.4,27.3,1.07
nimbus,4,1823.0,10,15.9,18.2,1.14
erigon,3,48.0,9,14.3,13.6,0.95
lighthouse,2,1379.5,10,15.9,9.1,0.57
geth,2,2225.0,3,4.8,9.1,1.9
nethermind,2,621.0,2,3.2,9.1,2.84
besu,1,1641.0,6,9.5,4.5,0.47
prysm,1,145.0,1,1.6,4.5,2.81
teku,1,2173.0,3,4.8,4.5,0.94
